{'e4', 'e5', 'Nf3', 'Nc6', 'Bb5', 'a6', 'Ba4', 'Nf6', 'O-O', 'Be7', 'Re1', 'b5', 'Bb3', 'O-O', 'c3', 'd5', 'exd5', 'Nxd5', 'Nxe5', 'Nxe5', 'Rxe5', 'c6', 'd4', 'Bd6', 'Re1', 'Qh4', 'g3', 'Qh3', 'Be3', 'Bg4'}
{'d4', 'Nf6', 'Nf3', 'e6', 'c4', 'b6', 'g3', 'Ba6', 'b3', 'Bb4', 'Bd2', 'Be7', 'Nc3', 'O-O', 'e4', 'd5', 'cxd5', 'Bxf1', 'Kxf1', 'exd5', 'e5', 'Ne4', 'Kg2', 'Qd7', 'Re1', 'Nxc3', 'Bxc3', 'Qe6', 'Ng1', 'c6'}
{'e4', 'Nf6', 'e5', 'Nd5', 'd4', 'd6', 'Nf3', 'Bg4', 'Be2', 'e6', 'O-O', 'Be7', 'c4', 'Nb6', 'Nc3', 'O-O', 'Be3', 'N8d7', 'exd6', 'cxd6', 'b3', 'd5', 'c5', 'Nc8', 'Qd2', 'Bf6', 'Bf4', 'Ne7', 'Bd6', 'Rc8'}
{'d4', 'e6', 'e4', 'd5', 'e5', 'c5', 'c3', 'Nc6', 'Nf3', 'Bd7', 'Be2', 'Nge7', 'Na3', 'Ng6', 'O-O', 'Be7', 'Be3', 'cxd4', 'cxd4', 'Qb6', 'Qd2', 'Rc8', 'Nb5', 'Na5', 'Nd6', 'Bxd6', 'exd6', 'Nc4', 'Bxc4', 'dxc4'}
{'e4', 'c5', 'Nc3', 'Nc6', 'g3', 'Nf6', 'Bg2', 'd6', 'h3', 'e6', 'f4', 'Be7', 'd3', 'O-O', 'g4', 'Ne8', 'g5', 'f5', 'Nge2', 'Nc7', 'O-O', 'fxe4', 'dxe4', 'b5', 'Be3', 'b4', 'Na4', 'e5', 'a3', 'exf4'}
{'Nf3', 'Nf6', 'b3', 'g6', 'Bb2', 'Bg7', 'e3', 'O-O', 'Be2', 'c5', 'c4', 'Nc6', 'Nc3', 'd6', 'O-O', 'Bf5', 'd4', 'Qa5', 'Nd5', 'Nxd5', 'cxd5', 'Nb8', 'Bc4', 'Bg4', 'h3', 'Bxf3', 'Qxf3', 'Nd7', 'Qe4', 'b5'}
{'d4', 'd5', 'c4', 'e6', 'Nc3', 'f5', 'Nf3', 'Nf6', 'Bf4', 'c6', 'e3', 'Be7', 'Bd3', 'O-O', 'O-O', 'Ne4', 'h3', 'Nd7', 'Rc1', 'Ndf6', 'Be2', 'Nh5', 'Bh2', 'Nhf6', 'Qb3', 'Bd6', 'Bxd6', 'Qxd6', 'Rfd1', 'b6'}
{'d4', 'Nf6', 'c4', 'e6', 'Nf3', 'd5', 'Nc3', 'c6', 'e3', 'Nbd7', 'a3', 'Bd6', 'c5', 'Bc7', 'b4', 'e5', 'dxe5', 'Nxe5', 'Nd4', 'O-O', 'Be2', 'Re8', 'O-O', 'Bd7', 'Qc2', 'b6', 'Na4', 'b5', 'Nc3', 'a5'}
{'e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'a6', 'Be3', 'e6', 'f3', 'Be7', 'Qd2', 'Nc6', 'g4', 'O-O', 'O-O-O', 'Nxd4', 'Bxd4', 'b5', 'a3', 'Nd7', 'h4', 'Ne5', 'Qe3', 'Nc6', 'Bb6', 'Qd7'}
{'c4', 'c5', 'Nf3', 'Nc6', 'Nc3', 'Nf6', 'd4', 'cxd4', 'Nxd4', 'e6', 'g3', 'Bc5', 'Nb3', 'Be7', 'Bg2', 'O-O', 'O-O', 'd6', 'Bf4', 'Ng4', 'e4', 'e5', 'Bd2', 'Be6', 'Nd5', 'Rc8', 'f3', 'Nf6', 'Be3', 'b6'}
{'d4', 'd5', 'c4', 'c6', 'Nc3', 'dxc4', 'Nf3', 'b5', 'e3', 'Nf6', 'a4', 'b4', 'Nb1', 'Ba6', 'Nbd2', 'c3', 'bxc3', 'Bxf1', 'Nxf1', 'bxc3', 'Ng3', 'e6', 'O-O', 'c5', 'Ba3', 'Nbd7', 'Ne2', 'Qa5', 'Qd3', 'cxd4'}
{'d4', 'Nf6', 'c4', 'e6', 'g3', 'd5', 'Bg2', 'dxc4', 'Nf3', 'a6', 'O-O', 'Nc6', 'e3', 'Bd7', 'Nc3', 'Bd6', 'Qe2', 'b5', 'e4', 'Be7', 'd5', 'Nb4', 'dxe6', 'fxe6', 'a3', 'Nd3', 'e5', 'Nd5', 'Nxd5', 'exd5'}
{'e4', 'c5', 'Nf3', 'd6', 'Nc3', 'Nc6', 'd4', 'cxd4', 'Nxd4', 'g6', 'Be2', 'Nf6', 'O-O', 'Nxd4', 'Qxd4', 'Bg7', 'Be3', 'O-O', 'Qb4', 'a5', 'Qb5', 'Bd7', 'Qd3', 'Be6', 'Bd4', 'Rc8', 'f4', 'Bc4', 'Qe3', 'Qd7'}
{'e4', 'e5', 'Nf3', 'Nc6', 'd4', 'exd4', 'Nxd4', 'Nf6', 'Nxc6', 'bxc6', 'e5', 'Qe7', 'Qe2', 'Nd5', 'c4', 'Nb6', 'Bf4', 'Ba6', 'Nd2', 'Qb4', 'Qe4', 'Qxb2', 'Rb1', 'Qa3', 'Be2', 'Bb4', 'O-O', 'O-O', 'Rb3', 'Qa4'}
{'d4', 'Nf6', 'Nf3', 'e6', 'Bf4', 'c5', 'e3', 'Qb6', 'Nc3', 'd5', 'Be2', 'c4', 'a4', 'Bb4', 'O-O', 'Bxc3', 'bxc3', 'Ne4', 'Ng5', 'Nxc3', 'Qd2', 'Nxe2', 'Qxe2', 'f6', 'Qh5', 'g6', 'Qh6', 'fxg5', 'Be5', 'Rf8'}
{'c4', 'e6', 'd4', 'd5', 'Nc3', 'c6', 'e3', 'Nf6', 'Nf3', 'Nbd7', 'Qc2', 'Bd6', 'Be2', 'O-O', 'O-O', 'Re8', 'Rd1', 'Qe7', 'b3', 'b6', 'e4', 'Nxe4', 'Nxe4', 'dxe4', 'Qxe4', 'Bb7', 'Bb2', 'Nf6', 'Qe3', 'c5'}
{'e4', 'e5', 'Nf3', 'Nc6', 'Bb5', 'a6', 'Ba4', 'd6', 'c3', 'Nf6', 'd3', 'Be7', 'O-O', 'O-O', 'Nbd2', 'b5', 'Bc2', 'Bg4', 'h3', 'Bh5', 'g4', 'Bg6', 'Nh4', 'Qd7', 'f4', 'exf4', 'Ndf3', 'Ne5', 'Nf5', 'Bxf5'}
{'Nf3', 'd5', 'g3', 'c6', 'Bg2', 'Bg4', 'd4', 'Nd7', 'O-O', 'e6', 'Nbd2', 'Ngf6', 'Re1', 'Be7', 'e4', 'dxe4', 'Nxe4', 'O-O', 'c3', 'Re8', 'Qb3', 'Qb6', 'Qxb6', 'Nxb6', 'Ne5', 'Bf5', 'Nxf6', 'Bxf6', 'b3', 'Rad8'}
{'d4', 'd5', 'c4', 'dxc4', 'Nf3', 'Nf6', 'e3', 'e6', 'Bxc4', 'a6', 'Nc3', 'c5', 'a4', 'Nc6', 'O-O', 'cxd4', 'exd4', 'Be7', 'Bg5', 'O-O', 'Re1', 'h6', 'Bh4', 'b6', 'Bxf6', 'Bxf6', 'd5', 'exd5', 'Nxd5', 'Bg4'}
{'e4', 'c5', 'Nf3', 'e6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'd6', 'g4', 'Be7', 'g5', 'Nfd7', 'h4', 'a6', 'Be3', 'O-O', 'g6', 'hxg6', 'h5', 'g5', 'h6', 'g6', 'Qd2', 'Nc6', 'O-O-O', 'Kh7', 'f3', 'Nde5'}
{'d4', 'Nf6', 'c4', 'g6', 'Nc3', 'Bg7', 'e4', 'd6', 'f4', 'O-O', 'Nf3', 'Na6', 'Bd3', 'e5', 'fxe5', 'dxe5', 'd5', 'c6', 'O-O', 'cxd5', 'cxd5', 'Ne8', 'Be3', 'Nd6', 'Nb5', 'Nb4', 'Nxd6', 'Qxd6', 'Be2', 'f5'}
{'d4', 'Nf6', 'c4', 'e6', 'Bg5', 'c5', 'd5', 'd6', 'Bxf6', 'Qxf6', 'Nc3', 'Be7', 'e3', 'O-O', 'Nf3', 'Nd7', 'Bd3', 'Qh6', 'dxe6', 'fxe6', 'h4', 'Rb8', 'Qc2', 'Nf6', 'O-O-O', 'a6', 'Ng5', 'b5', 'cxb5', 'axb5'}
{'e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'Nc6', 'Bg5', 'Qb6', 'Nb3', 'e6', 'Qd2', 'Be7', 'O-O-O', 'O-O', 'f3', 'a6', 'g4', 'Qc7', 'Be3', 'b5', 'g5', 'Nd7', 'f4', 'Nb6', 'Rg1', 'b4'}
{'e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'a6', 'Be3', 'e6', 'f3', 'b5', 'a4', 'b4', 'Na2', 'Bb7', 'Bd3', 'Nbd7', 'O-O', 'd5', 'Qd2', 'dxe4', 'Bxe4', 'Bxe4', 'fxe4', 'Nxe4', 'Qe1', 'Qb8'}
{'Nf3', 'Nf6', 'c4', 'g6', 'g3', 'Bg7', 'Bg2', 'O-O', 'O-O', 'd6', 'd4', 'Nbd7', 'Nc3', 'e5', 'dxe5', 'dxe5', 'Ng5', 'Qe7', 'b3', 'Rd8', 'Qc2', 'Nf8', 'a4', 'c6', 'Ba3', 'Qc7', 'Rad1', 'Ne6', 'Rxd8', 'Qxd8'}
{'e4', 'c5', 'c3', 'd5', 'exd5', 'Qxd5', 'd4', 'Nf6', 'Nf3', 'e6', 'Na3', 'Qd8', 'Nc2', 'Nc6', 'Bd3', 'cxd4', 'Ncxd4', 'Nxd4', 'Nxd4', 'Bc5', 'O-O', 'O-O', 'Nb3', 'Bd6', 'Bg5', 'Bc7', 'Qc2', 'h6', 'Bh7', 'Kh8'}
{'d4', 'Nf6', 'c4', 'e6', 'Nc3', 'Bb4', 'e3', 'b6', 'Bd3', 'O-O', 'Ne2', 'd5', 'cxd5', 'exd5', 'O-O', 'c6', 'f3', 'Re8', 'Qb3', 'Be7', 'e4', 'c5', 'Bb5', 'Bd7', 'Nxd5', 'Nxd5', 'Bc4', 'Nb4', 'a3', 'N4c6'}
{'d4', 'Nf6', 'c4', 'e6', 'Nf3', 'b6', 'e3', 'Bb7', 'a3', 'd5', 'b4', 'dxc4', 'Bxc4', 'Be7', 'Nbd2', 'O-O', 'Rb1', 'Nbd7', 'O-O', 'Rb8', 'b5', 'c5', 'bxc6', 'Bxc6', 'a4', 'Qc7', 'Qb3', 'Bd6', 'Bb5', 'Bd5'}
{'Nf3', 'Nf6', 'g3', 'd5', 'Bg2', 'Bg4', 'c4', 'e6', 'Ne5', 'Bf5', 'Qb3', 'Qc8', 'O-O', 'Bd6', 'd4', 'O-O', 'cxd5', 'exd5', 'Nc3', 'c6', 'Bg5', 'Bxe5', 'dxe5', 'Ne4', 'Nxe4', 'dxe4', 'f4', 'exf3', 'exf3', 'Be6'}
{'e4', 'e5', 'Nf3', 'Nc6', 'Bb5', 'a6', 'Bxc6', 'dxc6', 'O-O', 'f6', 'd4', 'Bg4', 'dxe5', 'Qxd1', 'Rxd1', 'fxe5', 'Rd3', 'Bd6', 'Nbd2', 'b5', 'b3', 'Nf6', 'Ne1', 'O-O', 'Bb2', 'Rad8', 'f3', 'Be6', 'Rd1', 'Rd7'}
{'e4', 'c5', 'Nf3', 'd6', 'b3', 'e6', 'Bb2', 'Nc6', 'e5', 'd5', 'c3', 'Nge7', 'd4', 'Ng6', 'h4', 'Be7', 'h5', 'Nh4', 'Nxh4', 'Bxh4', 'Bd3', 'Bg5', 'O-O', 'cxd4', 'cxd4', 'Bh6', 'Nc3', 'Qh4', 'Nb5', 'Bf4'}
{'e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'a6', 'Be3', 'e6', 'Be2', 'Nc6', 'O-O', 'Be7', 'f4', 'Qc7', 'a4', 'O-O', 'Kh1', 'Re8', 'Bf3', 'Rb8', 'g4', 'e5', 'Nf5', 'Bxf5', 'exf5', 'exf4'}
{'d4', 'Nf6', 'c4', 'g6', 'Nc3', 'Bg7', 'Bg5', 'd5', 'Bxf6', 'Bxf6', 'cxd5', 'c6', 'e4', 'Qb6', 'Nf3', 'Bg4', 'e5', 'Qxb2', 'Rc1', 'Bg7', 'Be2', 'Bf5', 'Ng5', 'Bh6', 'f4', 'O-O', 'O-O', 'Qb4', 'e6', 'f6'}
{'d4', 'Nf6', 'c4', 'e6', 'g3', 'd5', 'Bg2', 'dxc4', 'Nf3', 'a6', 'O-O', 'Nc6', 'e3', 'Bd7', 'Qe2', 'b5', 'Ne5', 'Nd5', 'Nxd7', 'Qxd7', 'Rd1', 'Bb4', 'b3', 'cxb3', 'axb3', 'O-O', 'Bb2', 'f5', 'Rc1', 'Nce7'}
